cancer_type,n_registros,n_log2_tpm_null,n_tpm_null,n_tpm_cero,pct_tpm_cero
LIHC,7405902,0,0,1259617,17.01
COAD,9601722,0,0,1531181,15.95
SKCM,2056086,0,0,314600,15.3
KIRP,5788980,0,0,850598,14.69
BLCA,8224344,0,0,1201066,14.6
THCA,10080810,0,0,1449224,14.38
UCEC,11038986,0,0,1583616,14.35
CESC,6068448,0,0,868308,14.31
HNSC,10380240,0,0,1438369,13.86
BRCA,22177782,0,0,3013154,13.59
LUAD,10779480,0,0,1439929,13.36
PRAD,10000962,0,0,1331836,13.32
KIRC,10799442,0,0,1390836,12.88
LGG,10300392,0,0,1312035,12.74
LUSC,10200582,0,0,1271802,12.47
OV,8503812,0,0,1007282,11.85
GBM,7425864,0,0,870273,11.72
STAD,8224344,0,0,881862,10.72
