cancer_type,n_registros,media_log2_tpm,sd_log2_tpm,min_log2_tpm,max_log2_tpm
BLCA,8224344,2.7134806305495975,2.4391301587820777,0.0,16.94317027898798
BRCA,22177782,2.9241131542444814,2.4750123079088584,0.0,18.06361040873143
CESC,6068448,2.786054691029373,2.4764842632468516,0.0,17.323977765033586
COAD,9601722,2.7731197091427178,2.4612223573162835,0.0,16.783961016497297
GBM,7425864,2.7850999893570054,2.282517314772604,0.0,16.021612884026073
HNSC,10380240,2.7207152582352307,2.452649820959562,0.0,16.544495365982772
KIRC,10799442,2.77919852565988,2.3895382598113093,0.0,16.98973703050497
KIRP,5788980,2.6391554925055676,2.3720458643476134,0.0,17.424779654897335
LGG,10300392,2.9574709934922123,2.4252849696441223,0.0,17.199214816975893
LIHC,7405902,2.3124601358457992,2.324658506321691,0.0,17.40267120621973
LUAD,10779480,2.8584862489964067,2.401449846716166,0.0,17.055025304357713
LUSC,10200582,2.8919336325979788,2.435375179488154,0.0,16.722706228172456
OV,8503812,2.7501770538925743,2.37318563505759,0.0,16.32545018820544
PRAD,10000962,2.8427425430043294,2.441511900288009,0.0,16.49976522828707
SKCM,2056086,2.6166685537632746,2.4542701970391336,0.0,17.24371113150662
STAD,8224344,2.72979647892023,2.3273785550489077,0.0,17.254388734709888
THCA,10080810,2.8031003550903004,2.4421902597902743,0.0,17.22538603585812
UCEC,11038986,2.760367783277677,2.415609049449964,0.0,16.986406854155476
