cancer_type,gene_id_base,gene_name,avg_log2_tpm,rank_gen
BLCA,ENSG00000198712,MT-CO2,14.758658613731912,1
BLCA,ENSG00000198938,MT-CO3,14.577772738926253,2
BLCA,ENSG00000198886,MT-ND4,14.342373266426032,3
BLCA,ENSG00000198804,MT-CO1,14.273645601517034,4
BLCA,ENSG00000198899,MT-ATP6,13.790580052341438,5
BLCA,ENSG00000198840,MT-ND3,13.72102301806564,6
BLCA,ENSG00000198727,MT-CYB,13.626536377396233,7
BLCA,ENSG00000198763,MT-ND2,13.528092450814285,8
BLCA,ENSG00000198888,MT-ND1,13.133174666225974,9
BLCA,ENSG00000034510,TMSB10,12.981772988673491,10
BRCA,ENSG00000198938,MT-CO3,14.27479713868075,1
BRCA,ENSG00000198712,MT-CO2,14.170376761502688,2
BRCA,ENSG00000198804,MT-CO1,14.120215726710688,3
BRCA,ENSG00000198886,MT-ND4,13.96114514276409,4
BRCA,ENSG00000198899,MT-ATP6,13.327557991155462,5
BRCA,ENSG00000198727,MT-CYB,13.278319604447553,6
BRCA,ENSG00000198888,MT-ND1,13.181678966891425,7
BRCA,ENSG00000198840,MT-ND3,13.179400522016811,8
BRCA,ENSG00000198763,MT-ND2,13.12971268831263,9
BRCA,ENSG00000034510,TMSB10,12.660402888444116,10
CESC,ENSG00000198938,MT-CO3,14.178608794567573,1
CESC,ENSG00000198712,MT-CO2,14.159465030337378,2
CESC,ENSG00000198804,MT-CO1,13.884158429920559,3
CESC,ENSG00000198886,MT-ND4,13.671006277536629,4
CESC,ENSG00000198899,MT-ATP6,13.213475088297532,5
CESC,ENSG00000034510,TMSB10,13.198072247252773,6
CESC,ENSG00000198727,MT-CYB,12.982823123998637,7
CESC,ENSG00000198840,MT-ND3,12.957289438990097,8
CESC,ENSG00000198763,MT-ND2,12.810917578022174,9
CESC,ENSG00000198888,MT-ND1,12.648153795165138,10
COAD,ENSG00000198712,MT-CO2,14.703384547356276,1
COAD,ENSG00000198938,MT-CO3,14.46411459248844,2
COAD,ENSG00000198886,MT-ND4,14.1062278923577,3
COAD,ENSG00000198804,MT-CO1,14.070212932887472,4
COAD,ENSG00000198899,MT-ATP6,13.646736729397961,5
COAD,ENSG00000198840,MT-ND3,13.372901210595582,6
COAD,ENSG00000198727,MT-CYB,13.271570400910258,7
COAD,ENSG00000034510,TMSB10,13.20184143591383,8
COAD,ENSG00000087086,FTL,13.036338263235022,9
COAD,ENSG00000198763,MT-ND2,13.028756889240892,10
GBM,ENSG00000087086,FTL,12.666402817193719,1
GBM,ENSG00000198938,MT-CO3,12.220682986980417,2
GBM,ENSG00000034510,TMSB10,12.20174455697945,3
GBM,ENSG00000198804,MT-CO1,11.87813268062883,4
GBM,ENSG00000075624,ACTB,11.628083096682465,5
GBM,ENSG00000205542,TMSB4X,11.51145981170081,6
GBM,ENSG00000131095,GFAP,11.384401154712142,7
GBM,ENSG00000120885,CLU,11.229406020902458,8
GBM,ENSG00000184009,ACTG1,11.102231384983162,9
GBM,ENSG00000111640,GAPDH,11.082427637660826,10
HNSC,ENSG00000198712,MT-CO2,13.711754569572449,1
HNSC,ENSG00000198938,MT-CO3,13.6864637966083,2
HNSC,ENSG00000198804,MT-CO1,13.56096913944876,3
HNSC,ENSG00000163220,S100A9,13.408979315398318,4
HNSC,ENSG00000186847,KRT14,13.283511913901414,5
HNSC,ENSG00000198886,MT-ND4,13.270810906806474,6
HNSC,ENSG00000186081,KRT5,13.199589317498019,7
